ISSN,ISSN_L,TITLE
2363-7021,2363-7021,International Journal of Quality Innovation
2349-7807,2349-7807,"International journal of recent research in commerce	 economics and management."
2455-2240,2455-2240,"International journal of research	 science	 technology & management."
2348-6627,2348-6627,International journal of research aspects of engineering and management
2147-4478,2147-4478,International Journal of Research In Business and Social Science
2394-5923,2394-5923,International journal of research in business studies and management
2394-5036,2394-5036,"International journal of research in cloud engineering	 management & allied science."
2347-7539,2347-7539,International journal of research in engineering technology and management
2348-6503,2348-6503,International journal of research in management & business studies
2347-5943,2347-5943,International journal of research in management sciences
2455-7595,2455-7595,International journal of research in management studies
2454-7875,2454-7875,"International journal of research publications in engineering	 technology and management."
2349-5197,2349-5197,International journal of research science & management
2243-7770,2243-7770,International Journal of Research Studies in Management
2348-0823,2348-0823,International journal of science engineering & management research
2349-3771,2349-3771,International journal of scientific research and management studies
2477-1929,2477-1929,International journal of social and local economic governance
2455-8834,2455-8834,International journal of social science and economic research
2383-0239,2383-0239,International journal of social science and management
2411-7323,2411-7323,International journal of social science management and entrepreneurship
2411-4731,2411-4731,International journal of social sciences and management studies
2383-1359,2383-1359,International Journal of Supply and Operations Management
2246-2929,2246-2929,International Journal of Sustainable Energy Planning and Management
2231-6868,2231-6868,International journal of transformation in business management
2538-1628,2538-1628,International journal of urban management and energy sustainability
2349-5677,2349-5677,International jouurnal of business quantitative economics and applied management research
2451-1668,2451-1668,International Marketing and Management of Innovations
2229-6891,2229-6891,International research journal of applied finance
2322-083X,2322-083X,International research journal of business and management
2411-3646,2411-3646,International research journal of business and social science
2089-6271,2089-6271,International Research Journal of Business Studies
2348-9766,2348-9766,International research journal of management and commerce
2250-1959,2250-1959,International research journal of management sciences & technology
2147-964X,2147-964X,International research journal of management sciences
2349-0314,2349-0314,International research journal of marketing and economics
2306-9007,2306-9007,International review of management and business research
2146-4405,2146-4405,International Review of Management and Marketing
2308-2372,2308-2372,International SAMANM journal of business and social sciences
2308-2356,2308-2356,International SAMANM journal of finance and accounting
2308-2399,2308-2399,International SAMANM journal of marketing and management
2535-0005,2535-0005,International Scientific Conference High Technologies. Business. Society
1314-6327,1314-6327,International Scientific Conference Management and Engineering
2306-7748,2306-7748,International strategic management review
2432-552X,2432-552X,Internet journal for society for social management systems
1810-4967,1810-4967,Investment management & financial innovations
2251-8223,2251-8223,Iranian Journal of Information Processing & Management
2008-7055,2008-7055,Iranian Journal of Management Studies
2009-6208,2009-6208,Irish journal of arts management & cultural policy
2221-5239,2221-5239,Islamic banking and finance review
2411-3395,2411-3395,Islamic economic studies
2090-8938,2090-8938,ISRN Economics
2367-6647,2367-6655,IUC Management Review
2193-8997,2193-8997,IZA Journal of Labor Economics
2450-114X,2450-114X,Jagiellonian Journal of Management
2070-0296,2070-0296,Jinnah business review
2308-9946,2308-9946,Jordan journal of economic sciences
2394-837X,2394-837X,Journal for advanced research in commerce and management studies
1998-1279,1998-1279,"Journal for language, technology & entrepreneurship in Africa."
2300-0945,1733-3911,Journal for Perspectives of Economic Political and Social Integration
2149-0996,2149-0996,"Journal of Accounting	 Finance and Auditing Studies"
1984-9648,1984-9648,Journal of Aerospace Technology and Management
2214-8523,2214-8515,Journal of African trade
1899-5241,1899-5241,Journal of Agribusiness and Rural Development
2407-814X,2407-814X,Journal of Agribusiness and Rural Development Research
1074-0708,1074-0708,Journal of Agricultural and Applied Economics
2382-9907,2382-9907,Journal of applied business and finance researches
1843-6110,1843-6110,Journal of Applied Economic Sciences
1927-033X,1927-033X,Journal of applied economics and business research
2193-5181,2193-5181,Journal of applied research in business and economics
2066-5482,2066-5482,Journal of Applied Research in Finance
2288-4637,2288-4637,"Journal of Asian Finance	 Economics and Business"
2383-1170,2383-1170,Journal of Asset Management and Financing
2339-2886,2339-2886,"Journal of Auditing	 Finance and Forensic Accounting"
2353-6845,2353-6845,Journal of Banking and Financial Economics
2078-9424,2078-9424,Journal of Business
2384-4663,2384-4663,Journal of business & statistical analysis
2315-7755,2315-7755,Journal of Business and Economic Management
2305-1825,2305-1825,Journal of business and finance
2070-0156,2070-0156,Journal of business and management dynamics
1751-8202,1751-8202,Journal of business and retail management research
1992-271X,1992-271X,Journal of business and technology
2246-2465,2246-2465,Journal of Business Models
2521-5302,2521-5302,Journal of business sciences
1993-5765,1993-5765,Journal of business strategies
2152-1034,2152-1034,Journal of business studies quarterly
2233-369X,2233-369X,Journal of Business
2392-0726,2392-0726,Journal of Capital Market and Behavioral Finance
2336-9205,1800-9581,Journal of Central Banking Theory and Practice
2195-9897,2195-9897,Journal of Chinese management
2454-1702,0973-4503,Journal of commerce and trade
2410-406X,2410-406X,Journal of contemporary management sciences
2392-2680,2392-2680,Journal of Corporate Responsibility and Leadership
2351-6186,2351-6186,Journal of creativity and business innovation
2379-9463,2379-9463,Journal of Economic & Financial Studies
2322-0511,2322-0503,Journal of economic and financial modelling
1995-7076,1995-7076,Journal of economic and financial sciences
1849-3327,1849-3327,Journal of Economic and Social Development (Varaždin)
1986-8502,1986-8499,Journal of Economic and Social Studies
2285-3642,2285-3642,"Journal of Economic Development, Environment and People"
2301-7341,2301-7341,Journal of Economic Education
2008-7306,2008-7306,Journal of Economic Geology
2313-335X,2313-335X,Journal of economic info
2193-2409,2193-2409,Journal of Economic Structures
2087-3735,2087-3735,"Journal of Economics	 Business & Accountancy"
2077-1886,2077-1886,"Journal of economics	 finance and administrative science."
2220-6140,2220-6140,Journal of Economics and Behavioral Studies
2069-9476,2068-3537,Journal of Economics and Business Research
2148-8347,2148-8347,Journal of economics and political economy
2312-2978,2312-2978,Journal of economics and social sciences
2149-2387,2149-2387,Journal of economics bibliography
2149-2379,2149-2379,Journal of economics library
2310-3280,2310-3140,Journal of empirical economics
2221-6529,2221-6529,"Journal of Engineering	 Project	 and Production Management"
2338-3925,2338-3925,Journal of Engineering and Management in Industrial System
2217-8147,2217-8147,Journal of Engineering Management and Competitiveness
2299-7075,2299-7326,"Journal of Entrepreneurship	 Management and Innovation"
2068-7729,2068-7729,Journal of Environmental Management and Tourism
2385-7137,2385-7137,Journal of Evolutionary Studies in Business
2405-9188,2405-9188,Journal of Finance and Data Science
2367-5810,2367-5810,Journal of Financial and Actuarial Mathematics and Management
2282-717X,2282-717X,Journal of financial management markets and institutions
2167-9533,2167-9533,Journal of Financial Risk Management
2377-2999,2377-2999,Journal of global economic analysis
2251-7316,2228-7566,Journal of Global Entrepreneurship Research
2344-4150,2344-4150,Journal of Heterodox Economics
2328-4862,2328-4862,Journal of Human Resource and Sustainability Studies
1335-3888,1335-3888,Journal of Human Resource Management
2541-5395,1907-7947,Journal of Indonesian Applied Economics
2085-8272,2085-8272,Journal of Indonesian Economy and Business
2013-0953,2013-0953,Journal of Industrial Engineering and Management
2476-308X,2476-308X,Journal of industrial engineering and management studies
1807-1775,1807-1775,Journal of Information Systems and Technology Management
2443-2555,2443-2555,Journal of Information Systems Engineering and Business Intelligence
2468-4376,2468-4376,Journal of Information Systems Engineering and Management
2192-5372,2192-5372,Journal of Innovation and Entrepreneurship
2032-7129,,Journal of Innovation Economics
2183-0606,2183-0606,Journal of Innovation Management
2190-3387,2190-3387,"Journal of intellectual property, information technology and electronic commerce law."
2001-015X,2001-015X,Journal of Intelligence Studies in Business
2500-9656,2500-9656,Journal of International Economic Research
2367-6035,2367-6035,Journal of International Economy and Business
1313-2555,1313-2555,Journal of International Scientific Publications : Economy & Business
2149-9748,2149-9748,"Journal of International Trade, Logistics and Law"
1832-1151,1832-1151,Journal of internet business
1814-8042,1814-8042,Journal of Islamic Banking and Finance
2075-6291,2075-6291,Journal of Islamic business and management
2289-2109,2289-2109,Journal of Islamic Finance
2460-6146,2460-6618,Journal of Islamic Monetary Economics and Finance
2069-5934,2069-5934,"Journal of Knowledge Management	 Economics and Information Technology."
1705-9232,1705-9232,Journal of knowledge management practice
2148-4139,2148-4139,Journal of Life Economics
2450-7814,2450-7814,"Journal of Management and Business Administration	 Central Europe"
2378-5713,2378-5713,Journal of Management and Innovation
0976-013X,0976-0148,Journal of management and public policy
2249-1260,2249-1260,Journal of management and science
2348-6317,2348-6317,Journal of management and social science
1814-9790,1814-9790,Journal of management and social sciences
2383-2320,2383-2320,Journal of management and social studies
1925-4725,1925-4725,Journal of Management and Sustainability
2547-9512,2547-9512,Journal of Management Economics Literature Islamic and Political Sciences: JOMELIPS
2394-8124,2394-8124,Journal of management engineering and information technology
2313-3376,2313-3376,Journal of management info
2394-2762,2394-2762,Journal of management research and analysis
2313-0113,2313-0113,Journal of Management Sciences
2162-2434,2162-2442,Journal of Mathematical Finance
2413-3868,2413-3868,"Journal of media	 business and social sciences."
2345-5314,2345-5314,Journal of modern management and foresight
2451-3490,2451-3490,Journal of Modern Management Process
2521-2486,2521-2486,Journal of new finance
2469-6730,2469-6730,Journal of North African research in business
1984-3046,1984-3046,Journal of Operations and Supply Chain Management
2245-408X,2245-408X,Journal of Organization Design
2472-3797,2472-3797,"Journal of perspectives in organizational behavior	 management & leadership."
1844-8208,1843-2298,Journal of Philosophical Economics
2334-735X,2334-735X,Journal of Process Management. New Technologies
2251-6409,2251-6409,Journal of Production and Operations Management
2049-1395,2049-1395,Journal of regional & socio-economic issues
2395-2210,2395-2210,"Journal of research in business	 economics and management."
2456-0197,2456-0197,Journal of research in science technology engineering and management
2454-6542,2454-6542,Journal of research innovation and management science
2345-1424,2345-1424,"Journal of Research on Trade	 Management and Economic Development"
2057-8881,2057-8881,Journal of research studies in business and management
1911-8066,1911-8066,Journal of Risk and Financial Management
1940-9893,1940-9893,Journal of Service Science and Management
2364-4575,2364-4575,Journal of shipping and trade
2537-141X,2537-141X,Journal of Smart Economic Growth
2303-6044,2303-6044,Journal of social and business studies
2312-6264,2312-6264,Journal of social economics research
2313-3198,2313-3198,Journal of social economics
1816-6075,1816-6075,Journal of system and management sciences
2410-5988,2410-5988,"Journal of technological information	 management & engineering sciences."
0718-2724,0718-2724,Journal of technology management & innovation
0718-1876,0718-1876,Journal of theoretical and applied electronic commerce research
2309-0529,2309-0529,Journal of therapy and management in HIV infection
2313-4178,2313-4178,Journal of tourism management research
1995-5235,1995-5235,Journal of Transport and Supply Chain Management
1752-2897,1752-2897,Journal of trauma management & outcomes
2196-064X,2196-064X,Journal of Trust Management
2226-5856,2226-5856,Journal of Urban Management
1821-1283,1821-1283,Journal of Women's Entrepreneurship and Education
1412-1212,1412-1212,"Journal the Winners: Economics	 Business	 Management	 and Information System Journal"
2394-3033,2394-3033,Journals club for management studies
2492-9778,2492-9778,JustFinance
2349-2589,2349-2589,"KAAV international journal of law	 finance and industrial relations."
0853-6627,0853-6627,Kinerja: Journal of Business and Economics
2073-7904,2073-7904,Knowledge Management & E-Learning: An International Journal
2005-6095,2005-6095,Korean journal of construction engineering and management (Online)
2093-9582,2093-9582,Korean Journal of Franchise Management (Online)
2196-436X,2196-436X,Latin American Economic Review
0719-0425,0719-0425,Latin american journal of economics
2509-3711,2509-3711,LEMEX research papers on entrepreneurship
2313-8262,2313-8262,Makroeconomica review
1429-9321,1429-9321,Management
1331-0194,1331-0194,Management : Journal of Contemporary Management Issues
1841-2416,1841-2416,Management & Marketing
1842-0206,1842-0206,Management şi Marketing
2252-6552,2252-6552,Management Analysis Journal
2308-1368,2308-1368,Management and administrative sciences review
2084-3356,2084-3356,Management and Business Administration. Central Europe
2469-4339,2469-4339,Management and Economics Research Journal
2501-885X,2501-885X,Management and Economics Review
2080-8208,2080-8208,Management and Production Engineering Review
2286-2668,2286-2668,Management Dynamics in the Knowledge Economy
2392-0025,2392-0025,Management Forum
2066-9380,2066-9380,Management of Sustainable Development
1923-9335,1923-9335,Management Science Letters
2313-5166,2313-5166,Management studies and economic systems
2299-0461,2299-0461,Management Systems in Production Engineering
1822-6760,1822-6760,Management Theory and Studies for Rural Business and Infrastructure Development
2230-9764,2230-9764,Management today
1898-1143,1898-1143,Managerial Economics
2450-1131,1733-9707,Mathematical Economics
1941-5745,1941-5745,Michigan journal of business
2321-6700,2321-6700,MIT international journal of management & technology
2349-1701,2349-1701,MITS international journal of business research
2521-6392,2521-6392,Modern economics
2152-7245,2152-7245,Modern Economy
2300-6366,2300-6366,Modern Management Review
2307-101X,2307-101X,Nang Yan Business Journal
2394-6342,2394-6342,National journal of commerce and management
2412-3730,2412-3730,Neumann Business Review
2230-3561,2230-3561,Neuroscience and Neuroeconomics
2395-1907,2395-1907,NITTE management review
2342-9003,2342-9003,Nordic journal of business
1892-9710,1892-9710,Nordic Journal of Health Economics
2053-1648,2053-1648,Nottingham insolvency and business law e-journal
2066-8325,2066-8325,Oeconomics of Knowledge
2325-4688,2325-4688,Online Journal of Applied Knowledge Management
2345-4954,2345-4954,Open access journal of resistive economic
2333-9705,2333-9721,Open Access Library Journal
2169-3404,2169-3412,Open Journal of Accounting
2329-3284,2329-3292,Open Journal of Business and Management
2190-829X,2190-829X,Open journal of knowledge management
2327-5952,2327-5952,Open Journal of Social Sciences
2058-7422,2058-7422,"Open review of management	 banking and finance."
2501-3599,2501-1596,Oradea Journal of Business and Economics
2203-6156,2203-6156,Organisational Project Management
1847-5450,1847-5450,"Organization	 technology & management in construction"
2393-3119,2393-3119,Ovidius University Annals: Economic Sciences Series
1011-002X,1011-002X,Pakistan economic and social review
1997-8553,1997-8553,Pakistan Journal of Commerce and Social Sciences
2409-7462,2409-7462,Pakistan Journal of Information Management & Libraries
1452-595X,1452-595X,Panoeconomicus
1559-4122,1559-4122,Perspectives in health information management
1804-0519,1804-0519,"Perspectives of Innovations	 Economics and Business."
1224-6832,1224-6832,Petroleum-Gas University of Ploiesti Bulletin : Economic Sciences Series
2043-0736,2043-0736,Philosophy for business
2183-3826,2183-3826,"Portuguese Journal of Finance	 Management and Accounting."
1865-1151,1865-1151,Practical business research
2305-9559,2305-9559,Practical ideas in economics and finance
1791-5767,1791-5767,Practical Research in Innovation Management & Entrepreneurship
1727-7051,1727-7051,Problems and perspectives in management
2029-6932,2029-6932,Problems of management in the 21st century
2392-9537,2392-9537,"Procedia Environmental Science	 Engineering and Management."
2336-6044,2336-6044,Proceedings of the Economics & Finance Conferences ....
2349-6916,2349-6916,Professional Panorama : an international journal of management of technology
2409-9783,2409-9783,Professionals center for business research
2300-4088,2391-5951,Progress in Economic Sciences
2311-1860,2311-1860,Progress in management sciences
2207-1415,2207-1415,Project Management Research and Practice
1179-1578,1179-1578,Psychology Research and Behavior Management
2222-1867,2222-1867,Public and municipal finance
2284-2527,2284-2527,Public finance research papers
1759-7323,1759-7323,Quantitative Economics
2089-7995,2089-7847,Quantitative Economics Journal
2423-6586,2423-6578,Quarterly Journal of Applied Theories of Economics
2409-1472,2409-1472,Quarterly journal of business studies
2309-0944,2309-0944,Rajshahi University journal of social science and business studies
2300-5289,2300-5289,Real Estate Management and Valuation
2412-6535,2412-6535,Regional journal of information and knowledge management
2367-7805,2367-7805,Reports on Economics and Finance
2275-2617,2275-2617,Research & business link review
1736-9126,1736-9126,Research in economics and business: Central and Eastern Europe
2349-9109,2349-9109,Research journal of management and IT
2319-1171,2319-1171,Research journal of management sciences
2349-7270,2349-7270,Research script international journal of management and humanities
2229-4686,2229-4686,Researchers world - journal of arts science and commerce
2348-0971,2348-0971,Researchjournali's journal of business ethics
2348-0955,2348-0955,Researchjournali's journal of commerce
2347-8233,2347-8233,Researchjournali's journal of economics
2348-0963,2348-0963,Researchjournali's journal of finance
2347-8217,2347-8217,Researchjournali's journal of management
1335-2571,1335-2571,Review of Agricultural and Applied Economics
2308-944X,2308-944X,Review of business and economics studies
1879-9337,1879-9337,Review of Development Finance
1973-3909,1973-3909,Review of Economic Analysis
2068-7249,1843-763X,Review of Economic and Business Studies
1213-2446,1213-2446,Review of Economic Perspectives
1923-8401,1923-7529,Review of economics & finance
2038-1379,2038-1379,Review of economics and institutions
2366-035X,0948-5139,Review of economics
2360-2155,1583-624X,Review of Management and Economic Engineering
2502-244X,2502-244X,Riebs: review of Indonesian economic and business studies
1453-2069,1453-2069,Robotica & Management
1842-2497,1842-2497,Romanian economic business review
2286-2056,1454-4296,Romanian Economic Journal
2226-1184,2226-1184,Russian Journal of Agricultural and Socio-Economic Sciences
2405-4739,2405-4739,Russian journal of economics
2313-7002,2313-7002,Russian journal of logistics and transport management
2347-7571,2347-7571,Sai Om journal of commerce & management : a peer reviewed international journal
2347-7563,2347-7563,Sai Om journal of commerce & management : a peer reviewed national journal
1986-5473,1986-5473,Sarajevo business and economics review
2348-5302,2348-5302,"Scholars journal of economics	 business and management."
2394-3351,2394-3351,Scholedge international journal of business policy & governance
2394-3378,2394-3378,Scholedge international journal of management & development
2367-8380,2367-8380,Science. Business. Society
2501-3165,2501-1960,Scientific Annals of Economics and Business
1641-3466,1641-3466,Scientific Papers of Silesian University of Technology. Organization and Management Series
2247-3572,2247-3572,"Scientific Papers Series : Management	 Economic Engineering in Agriculture and Rural Development"
2415-1017,2415-1017,Scinzer journal of accounting and management
2455-068X,2455-068X,"Scope international journal of science	 humanities	 management and technology."
1452-4864,1452-4864,Serbian Journal of Management
1869-4195,1869-4195,SERIEs: Journal of the Spanish Economic Association
1898-0511,1898-0511,Service Management
2322-2301,2322-2301,Shiraz journal of system management
2503-4235,2503-4235,Shirkah Journal of Economics and Business
2065-2372,2065-2372,"Sibiu ""Alma Mater"" University Journals/n Series A/p Economic Sciences."
2520-6621,2520-6214,Socioeconomic challenges
2217-7558,2217-7558,Socioeconomica: Scientific Journal for Theory and Practice of Socio-economic Development
2222-3436,1015-8812,South African Journal of Economic and Management Sciences
1683-7584,1683-7584,South African Journal of Human Resource Management
1560-683X,1560-683X,South African Journal of Information Management
2410-8197,2410-8197,South American journal of management
2074-2967,2074-2967,South Asian Journal of Management Sciences
1978-1989,1978-1989,South East Asian Journal of Management
2233-1999,2233-1999,South East European Journal of Economics and Business
1998-8125,1998-8125,Southern African business review
2349-1558,2349-1558,SPC ERA international journal of e-commerce and e-banking
2412-7418,2412-7418,Specialty journal of accounting and economics
2412-5695,2412-5695,Specialty journal of psychology and management
2241-424X,1105-8919,SPOUDAI - Journal of Economics and Business
2349-6975,2349-6975,SSARSC international journal of management
2350-0956,2350-0956,SSPS -  international journal for business management & research
2393-9125,2393-9125,SSRG international journal of economics and management studies
2313-3848,2313-3848,Standard global journal of business management
2310-7537,2310-7537,Standard research journal of business management
1821-3448,1821-3448,Strategic management
2149-9543,2149-9543,Strategic Public Management Journal
2406-5269,2406-5269,Strategic Trade Review
2344-1321,2066-561X,Studies and Scientific Researches: Economics Edition
1418-2106,1418-2106,Studies in Agricultural Economics
1842-4120,1842-4120,Studies in Business and Economics
2313-1217,2313-1217,Sukkur IBA journal of management and business
2069-5519,2069-5519,Supply Chain Management Journal
1749-8384,1749-8384,Surrey energy economics discussion paper series
2053-8669,2053-8669,Surrey energy economics report series
1807-5908,1807-5908,Sustainable Business International Journal
1421-2110,0303-9692,Swiss journal of economics and statistics
1907-8145,1907-8145,Tazkia Islamic Finance and Business Review
2150-4059,2150-4067,Technology and Investment
1927-0321,1927-0321,Technology Innovation Management Review
2520-310X,2520-310X,Texila international journal of management
0004-9395,0004-9395,The Australian journal of agricultural economics
1838-8485,1838-8485,The e-journal of social & behavioural research in business
2312-6310,2312-430X,The Economics and finance letters
1824-2979,1824-2979,The European Journal of Comparative Economics
1835-5269,1835-5269,The International technology management review
2284-9459,2284-9459,The Journal of Accounting and Management
2218-8118,2218-8118,The Journal of commerce
2373-1753,2373-1753,The Journal of Entrepreneurial Finance
2457-4996,2457-4996,The Journal of Sustainable Development and Entrepreneurship
2056-9394,2056-9394,The key account management journal
2312-9492,2312-9492,The strategic journal of business & change management
1841-8678,1841-8678,Theoretical and Applied Economics
2065-3913,2065-3921,Theoretical and Empirical Researches in Urban Management
2068-7710,2068-7710,Theoretical and Practical Research in Economic Fields
1555-7561,1555-7561,Theoretical Economics
2162-2078,2162-2086,Theoretical Economics Letters
2248-0927,1842-7340,Timisoara Journal of Economics and Business
2451-0947,2451-0947,Torun Business Review
2182-8458,2182-8458,Tourism & Management Studies
1330-7533,1330-7533,Tourism and Hospitality Management
0976-2329,0975-3346,"Trade, law and development."
2551-2382,2551-2382,"Transformations of the French economy through the lens of international trade, 1716-1821."
1179-1616,1179-1616,Transplant Research and Risk Management
2149-0414,2149-0414,Turkish economic review
2148-3809,2148-3809,Turkish Journal of Islamic Economics
2382-9745,2382-9745,UCT journal of management and accounting studies
2226-6240,2226-6240,Universal journal of management and social sciences
1698-5117,1698-5117,Universia business review
2344-3847,2285-3332,USV Annals of Economics and Public Administration
1857-6974,1857-6974,UTMS Journal of Economics
2348-554X,2348-554X,v3 journal of management
2067-9440,2067-9440,Valahian Journal of Economic Studies
2455-2062,2455-2062,"VFSTR journal of science	 technology	 engineering & management."
2395-2059,2395-2059,Vindhya international journal of management research
2455-4251,2455-4251,"VSRD international journal of accounts, economics & commerce research."
1907-9753,1907-9753,Warta Kebijakan Iptek & Manajemen Litbang (Journal of S & T Policy and R & D Management)
2059-4283,0083-7350,Warwick economic research papers
2212-9774,2212-9774,Wine Economics and Policy
2367-2595,2367-2595,Working papers of the Berlin Institute for International Business Studies at the Berlin School of Economics and Law (HWR Berlin)
2510-053X,2510-053X,Working papers of the priority programme 1859 “Experience and expectation. Historical foundations of economic behaviour”
2391-5714,2391-5714,World Journal of Economics and Engineering
2391-5706,2391-5706,World Journal of Management and Art
2322-004X,2322-004X,World journal of management and engineering
1989-9068,1989-9068,WPOM : Working Papers on Operations Management
2084-1264,2084-1264,"Wroclaw Review of Law, Administration and Economics"
1849-1162,1331-5609,Zagreb International Review of Economics and Business
2076-3387,2076-3387,Administrative Sciences
2227-7099,2227-7099,Economies
2227-7072,2227-7072,International Journal of Financial Studies
2199-8531,2199-8531,Journal of Open Innovation: Technology, Market, and Complexity
1911-8074,1911-8074,Journal of Risk and Financial Management
2227-9091,2227-9091,Risks